        conc	    eq_EC_25	
  5.0000e-04	  1.4769e+02	
  1.0000e-03	  1.4673e+02	
  5.0000e-03	  1.4314e+02	
  1.0000e-02	  1.4073e+02	
  2.0000e-02	  1.3762e+02	
  5.0000e-02	  1.3236e+02	
  1.0000e-01	  1.2755e+02	
  5.0000e-04	  1.2439e+02	
  1.0000e-03	  1.2358e+02	
  5.0000e-03	  1.2059e+02	
  1.0000e-02	  1.1859e+02	
  2.0000e-02	  1.1605e+02	
  5.0000e-02	  1.1180e+02	
  1.0000e-01	  1.0803e+02	
  5.0000e-04	  4.1962e+02	
  1.0000e-03	  4.1724e+02	
  5.0000e-03	  4.0839e+02	
  1.0000e-02	  4.0277e+02	
  2.0000e-02	  3.9598e+02	
  5.0000e-02	  3.8540e+02	
  1.0000e-01	  3.7657e+02	
  5.0000e-04	  1.3166e+02	
  1.0000e-03	  1.2998e+02	
  5.0000e-03	  1.2388e+02	
  1.0000e-02	  1.2003e+02	
  2.0000e-02	  1.1538e+02	
  5.0000e-02	  1.0822e+02	
  1.0000e-01	  1.0242e+02	
  5.0000e-04	  1.2538e+02	
  1.0000e-03	  1.2383e+02	
  5.0000e-03	  1.1823e+02	
  1.0000e-02	  1.1472e+02	
  2.0000e-02	  1.1049e+02	
  5.0000e-02	  1.0402e+02	
  1.0000e-01	  9.8833e+01	
  1.2500e-04	  1.2549e+02	
  2.5000e-04	  1.2348e+02	
  1.2500e-03	  1.1587e+02	
  2.5000e-03	  1.1090e+02	
  5.0000e-03	  1.0478e+02	
  1.2500e-02	  9.5179e+01	
  2.5000e-02	  8.7225e+01	
  1.2428e-04	  1.2160e+02	
  2.4866e-04	  1.1556e+02	
  1.2449e-03	  9.3804e+01	
  2.4914e-03	  8.2056e+01	
  4.9860e-03	  6.9992e+01	
  1.2474e-02	  5.4769e+01	
  2.4959e-02	  4.4460e+01	
