           x	          pH	          pe	          O2	           A	          A+	          A-	     water-1	










  1.5000e-01	  7.0000e+00	  1.1577e+01	  1.6860e-09	  9.9636e-01	  9.9636e+00	  9.9636e+00	  2.8422e-13	
  4.5000e-01	  7.0000e+00	  1.1567e+01	  1.5341e-09	  9.8119e-01	  9.8120e+00	  9.8119e+00	  1.6176e-12	
  7.5000e-01	  7.0000e+00	  1.1552e+01	  1.3422e-09	  9.3202e-01	  9.3202e+00	  9.3202e+00	  6.0347e-12	
  1.0500e+00	  7.0000e+00	  1.1533e+01	  1.1199e-09	  8.1556e-01	  8.1556e+00	  8.1556e+00	  1.7067e-11	
  1.3500e+00	  6.9999e+00	  1.1507e+01	  8.8183e-10	  6.1585e-01	  6.1585e+00	  6.1585e+00	  3.8331e-11	
  1.6500e+00	  6.9998e+00	  1.1485e+01	  7.2103e-10	  3.7666e-01	  3.7666e+00	  3.7666e+00	 -1.1945e-10	
  1.9500e+00	  6.9997e+00	  1.1475e+01	  6.5554e-10	  1.8243e-01	  1.8243e+00	  1.8243e+00	 -8.3938e-11	
  2.2500e+00	  6.9996e+00	  1.1487e+01	  7.3476e-10	  7.0503e-02	  7.0502e-01	  7.0502e-01	 -5.2174e-11	
  2.5500e+00	  6.9996e+00	  1.1509e+01	  9.0370e-10	  2.2228e-02	  2.2227e-01	  2.2227e-01	 -2.8679e-11	
  2.8500e+00	  6.9996e+00	  1.1526e+01	  1.0542e-09	  6.6389e-03	  6.6377e-02	  6.6382e-02	 -1.4828e-11	












  1.5000e-01	  7.0000e+00	  1.1676e+01	  4.2101e-09	  9.9987e-01	  9.9987e+00	  9.9987e+00	 -1.3323e-14	
  4.5000e-01	  7.0000e+00	  1.1646e+01	  3.1735e-09	  9.9730e-01	  9.9730e+00	  9.9730e+00	 -2.7811e-13	
  7.5000e-01	  7.0000e+00	  1.1604e+01	  2.1632e-09	  9.7608e-01	  9.7608e+00	  9.7608e+00	 -2.4492e-12	
  1.0500e+00	  6.9999e+00	  1.1512e+01	  9.2248e-10	  8.8349e-01	  8.8349e+00	  8.8349e+00	 -1.1637e-11	
  1.3500e+00	  6.9998e+00	  1.1376e+01	  2.6483e-10	  6.5586e-01	  6.5586e+00	  6.5586e+00	 -3.1796e-11	
  1.6500e+00	  6.9997e+00	  1.1198e+01	  5.1519e-11	  3.4414e-01	  3.4414e+00	  3.4414e+00	 -5.0198e-11	
  1.9500e+00	  6.9997e+00	  1.1006e+01	  8.7728e-12	  1.1651e-01	  1.1651e+00	  1.1651e+00	 -4.6583e-11	
  2.2500e+00	  6.9998e+00	  1.0925e+01	  4.1532e-12	  2.3921e-02	  2.3920e-01	  2.3920e-01	 -2.6892e-11	
  2.5500e+00	  6.9998e+00	  1.0949e+01	  5.1670e-12	  2.7016e-03	  2.7007e-02	  2.7007e-02	 -9.7524e-12	
  2.8500e+00	  6.9998e+00	 -1.2785e+00	  0.0000e+00	  1.2960e-04	  1.2870e-03	  1.2870e-03	 -1.7899e-12	
