        dist	       Ca/Na	     Cl/S(6)	         H2S	          pH	          pe	          cb	










  2.0000e-03	  1.8297e+00	  9.1483e-01	  0.0000e+00	  7.0182e+00	  1.1393e+01	  1.3301e-12	
  6.0000e-03	  1.4819e+00	  7.4093e-01	  0.0000e+00	  7.0527e+00	  1.0965e+01	 -1.5358e-12	
  1.0000e-02	  1.1409e+00	  5.7043e-01	  0.0000e+00	  7.0833e+00	  1.1034e+01	 -2.9133e-12	
  1.4000e-02	  8.2757e-01	  4.1378e-01	  0.0000e+00	  7.1082e+00	  1.1048e+01	 -1.2282e-12	
  1.8000e-02	  5.6094e-01	  2.8047e-01	  0.0000e+00	  7.1253e+00	  1.1036e+01	  1.4644e-14	
  2.2000e-02	  3.5294e-01	  1.7647e-01	  0.0000e+00	  7.1321e+00	  1.1047e+01	  1.7024e-14	
  2.6000e-02	  2.0523e-01	  1.0262e-01	  0.0000e+00	  7.1267e+00	  1.1031e+01	 -3.6050e-15	
  3.0000e-02	  1.0951e-01	  5.4757e-02	  0.0000e+00	  7.1072e+00	  1.1043e+01	 -4.4694e-15	
  3.4000e-02	  5.1532e-02	  2.5766e-02	  0.0000e+00	  7.0714e+00	  1.1007e+01	 -1.7771e-15	
  3.8000e-02	  1.5936e-02	  7.9682e-03	  0.0000e+00	  7.0111e+00	  1.0946e+01	 -5.2005e-16	












  2.0000e-03	  1.8021e+00	  9.0104e-01	  0.0000e+00	  7.0279e+00	  1.1503e+01	 -3.7490e-14	
  6.0000e-03	  1.4182e+00	  7.0911e-01	  0.0000e+00	  7.0794e+00	  1.1425e+01	 -1.1057e-13	
  1.0000e-02	  1.0681e+00	  5.3404e-01	  0.0000e+00	  7.1223e+00	  1.1356e+01	 -1.6376e-13	
  1.4000e-02	  7.6771e-01	  3.8386e-01	  0.0000e+00	  7.1539e+00	  1.1301e+01	 -1.9406e-13	
  1.8000e-02	  5.2536e-01	  2.6268e-01	  0.0000e+00	  7.1728e+00	  1.1260e+01	 -1.9879e-13	
  2.2000e-02	  3.4134e-01	  1.7067e-01	  0.0000e+00	  7.1784e+00	  1.1237e+01	 -1.8024e-13	
  2.6000e-02	  2.0955e-01	  1.0477e-01	  0.0000e+00	  7.1715e+00	  1.1231e+01	 -1.4226e-13	
  3.0000e-02	  1.1978e-01	  5.9892e-02	  0.0000e+00	  7.1528e+00	  1.1238e+01	 -8.8052e-14	
  3.4000e-02	  6.0047e-02	  3.0023e-02	  0.0000e+00	  7.1220e+00	  1.1260e+01	 -1.8573e-14	
  3.8000e-02	  1.8067e-02	  9.0333e-03	  0.0000e+00	  7.0680e+00	  1.1310e+01	 -5.0463e-15	
