        cell	          pH	          pe	          Na	          Ca	          Cl	          cb	






  1.0000e+00	  6.9999e+00	 -1.6435e+00	  2.6834e-07	  1.2719e-04	  2.5458e-04	 -2.8530e-22	
  4.0000e+00	  6.9998e+00	  1.1095e+01	  1.3462e-10	  9.1813e-05	  1.8360e-04	 -3.9714e-21	
  6.0000e+00	  6.9998e+00	  1.1132e+01	  3.6091e-14	  7.6532e-05	  1.5305e-04	  1.7065e-21	
  8.0000e+00	  6.9998e+00	  1.1103e+01	  3.7883e-14	  8.4313e-05	  1.6860e-04	 -5.4659e-23	
  2.0000e+00	  6.9998e+00	  1.1148e+01	  4.9921e-12	  1.3364e-05	  2.6721e-05	  5.1981e-21	
  5.0000e+00	  6.9998e+00	  1.1218e+01	  3.1074e-16	  9.5287e-06	  1.9054e-05	  1.9388e-21	






  1.0000e+00	  6.9998e+00	  1.1192e+01	  2.6838e-07	  1.2715e-04	  2.5455e-04	 -2.3308e-21	
  4.0000e+00	  6.9998e+00	  1.1182e+01	  2.6900e-10	  9.1815e-05	  1.8361e-04	 -5.9406e-21	
  6.0000e+00	  6.9998e+00	  1.1154e+01	  1.4424e-13	  7.6546e-05	  1.5307e-04	 -5.6497e-21	
  8.0000e+00	  6.9998e+00	  1.1177e+01	  3.0264e-13	  8.4321e-05	  1.6862e-04	 -5.2646e-21	
  2.0000e+00	  6.9998e+00	  1.1337e+01	  4.9926e-12	  1.3363e-05	  2.6723e-05	 -2.0463e-21	
  5.0000e+00	  6.9998e+00	  1.1346e+01	  6.2153e-16	  9.5290e-06	  1.9056e-05	 -1.2959e-21	
