        cell	          pH	          pe	          O2	           A	          A+	          A-	          cb	






  1.0000e+00	  6.3642e+00	  1.3300e+01	  3.7745e-05	  3.8259e-01	  4.8478e-02	  3.8655e+00	  2.4820e-08	
  4.0000e+00	  6.4566e+00	  1.3200e+01	  3.4994e-05	  2.8356e-01	  2.2158e-04	  2.8528e+00	  4.2688e-09	
  6.0000e+00	  6.5073e+00	  1.3143e+01	  3.3006e-05	  2.4023e-01	  5.1981e-07	  2.4115e+00	  5.4820e-10	
  8.0000e+00	  6.4801e+00	  1.3174e+01	  3.4379e-05	  2.6271e-01	  5.5428e-07	  2.6400e+00	  1.4685e-09	
  2.0000e+00	  6.8050e+00	  1.2796e+01	  2.1098e-05	  6.3649e-02	  1.7399e-05	  6.3889e-01	  3.4758e-09	
  5.0000e+00	  6.8479e+00	  1.2770e+01	  2.4584e-05	  4.7270e-02	  1.3478e-08	  4.7404e-01	 -1.9262e-08	




  0.0000e+00	  6.0281e+00	  1.1811e+01	  1.8784e-12	  1.0000e-00	  9.9010e-02	  1.0000e+01	 -7.4672e-09	






  1.0000e+00	  6.4952e+00	  1.3194e+01	  4.7334e-05	  2.5457e-01	  1.9577e-02	  2.5457e+00	  1.5495e-10	
  4.0000e+00	  6.5838e+00	  1.3090e+01	  4.1113e-05	  1.8363e-01	  1.3094e-04	  1.8363e+00	  1.4181e-08	
  6.0000e+00	  6.6301e+00	  1.3031e+01	  3.6795e-05	  1.5309e-01	  4.6608e-07	  1.5309e+00	  2.4187e-08	
  8.0000e+00	  6.6058e+00	  1.3072e+01	  4.2904e-05	  1.6864e-01	  9.8410e-07	  1.6864e+00	  9.3859e-09	
  2.0000e+00	  6.9073e+00	  1.2693e+01	  2.0879e-05	  2.6726e-02	  3.0032e-06	  2.6726e-01	 -7.2044e-08	
  5.0000e+00	  6.9317e+00	  1.2666e+01	  2.0498e-05	  1.9058e-02	  3.9828e-09	  1.9058e-01	 -1.7396e-07	
