         sim	       state	        soln	      dist_x	        time	        step	          pH	          pe	
           1	      transp	           1	         0.5	           0	           0	     8.27905	      12.251	
           1	      transp	           2	         1.5	           0	           0	     8.27905	      12.251	
           1	      transp	           3	         2.5	           0	           0	     8.27905	      12.251	
           1	      transp	           4	         3.5	           0	           0	     8.27905	      12.251	
           1	      transp	           5	         4.5	           0	           0	     8.27905	      12.251	
           1	      transp	           6	         5.5	           0	           0	     8.27905	      12.251	
           1	      transp	           7	         6.5	           0	           0	     8.27905	      12.251	
           1	      transp	           8	         7.5	           0	           0	     8.27905	      12.251	
           1	      transp	           9	         8.5	           0	           0	     8.27905	      12.251	
           1	      transp	          10	         9.5	           0	           0	     8.27905	      12.251	
           1	      transp	           1	         0.5	       16200	           5	     7.41977	     13.1102	
           1	      transp	           2	         1.5	       18000	           5	      7.5826	     12.9474	
           1	      transp	           3	         2.5	       18000	           5	      7.6978	     12.8322	
           1	      transp	           4	         3.5	       18000	           5	     7.81279	     12.7172	
           1	      transp	           5	         4.5	       18000	           5	     7.92115	     12.6088	
           1	      transp	           6	         5.5	       18000	           5	     8.27905	      12.251	
           1	      transp	           7	         6.5	       18000	           5	     8.27905	      12.251	
           1	      transp	           8	         7.5	       18000	           5	     8.27905	      12.251	
           1	      transp	           9	         8.5	       18000	           5	     8.27905	      12.251	
           1	      transp	          10	         9.5	       18000	           5	     8.27905	      12.251	
           1	      transp	           1	         0.5	       34200	          10	     7.41977	     13.1102	
           1	      transp	           2	         1.5	       36000	          10	      7.5826	     12.9474	
           1	      transp	           3	         2.5	       36000	          10	      7.6978	     12.8322	
           1	      transp	           4	         3.5	       36000	          10	     7.81279	     12.7172	
           1	      transp	           5	         4.5	       36000	          10	     7.92115	     12.6088	
           1	      transp	           6	         5.5	       36000	          10	     8.01651	     12.5134	
           1	      transp	           7	         6.5	       36000	          10	     8.09453	     12.4354	
           1	      transp	           8	         7.5	       36000	          10	     8.15405	     12.3759	
           1	      transp	           9	         8.5	       36000	          10	      8.1968	     12.3331	
           1	      transp	          10	         9.5	       36000	          10	     8.22608	     12.3039	
