        cell	       shift	        dist	          Na	           K	          Mg	          Ca	         Alk	          pH	
 1.0000e+000	 0.0000e+000	 1.6000e+000	 1.0000e-001	 5.0000e-002	 0.0000e+000	 1.4003e+000	 2.8005e+000	 7.5706e+000	
 2.0000e+000	 0.0000e+000	 4.8000e+000	 1.0000e-001	 5.0000e-002	 0.0000e+000	 1.4003e+000	 2.8005e+000	 7.5706e+000	
 3.0000e+000	 0.0000e+000	 8.0000e+000	 1.0000e-001	 5.0000e-002	 0.0000e+000	 1.4003e+000	 2.8005e+000	 7.5706e+000	
 4.0000e+000	 0.0000e+000	 1.1200e+001	 8.7381e+001	 1.9044e+000	 9.9162e+000	 4.2881e+000	 1.5320e+001	 6.7865e+000	
 5.0000e+000	 0.0000e+000	 1.4400e+001	 8.7381e+001	 1.9044e+000	 9.9162e+000	 4.2881e+000	 1.5320e+001	 6.7865e+000	
 6.0000e+000	 0.0000e+000	 1.7600e+001	 8.7381e+001	 1.9044e+000	 9.9162e+000	 4.2881e+000	 1.5320e+001	 6.7865e+000	
 7.0000e+000	 0.0000e+000	 2.0800e+001	 8.7381e+001	 1.9044e+000	 9.9162e+000	 4.2881e+000	 1.5320e+001	 6.7865e+000	
 8.0000e+000	 0.0000e+000	 2.4000e+001	 8.7381e+001	 1.9044e+000	 9.9162e+000	 4.2881e+000	 1.5320e+001	 6.7865e+000	
 9.0000e+000	 0.0000e+000	 2.7200e+001	 8.7381e+001	 1.9044e+000	 9.9162e+000	 4.2881e+000	 1.5320e+001	 6.7865e+000	
 1.0000e+001	 0.0000e+000	 3.0400e+001	 8.7381e+001	 1.9044e+000	 9.9162e+000	 4.2881e+000	 1.5320e+001	 6.7865e+000	
 1.1000e+001	 0.0000e+000	 3.3600e+001	 8.7381e+001	 1.9044e+000	 9.9162e+000	 4.2881e+000	 1.5320e+001	 6.7865e+000	
 1.3000e+001	 0.0000e+000	 3.6800e+001	 8.7381e+001	 1.9044e+000	 9.9162e+000	 4.2881e+000	 1.5320e+001	 6.7865e+000	
 1.4000e+001	 0.0000e+000	 4.0000e+001	 8.7381e+001	 1.9044e+000	 9.9162e+000	 4.2881e+000	 1.5320e+001	 6.7865e+000	
 1.5000e+001	 0.0000e+000	 4.3200e+001	 8.7381e+001	 1.9044e+000	 9.9162e+000	 4.2881e+000	 1.5320e+001	 6.7865e+000	
 1.6000e+001	 0.0000e+000	 4.6400e+001	 8.7381e+001	 1.9044e+000	 9.9162e+000	 4.2881e+000	 1.5320e+001	 6.7865e+000	
 1.7000e+001	 0.0000e+000	 4.9600e+001	 8.7381e+001	 1.9044e+000	 9.9162e+000	 4.2881e+000	 1.5320e+001	 6.7865e+000	
 1.8000e+001	 0.0000e+000	 5.2800e+001	 8.7381e+001	 1.9044e+000	 9.9162e+000	 4.2881e+000	 1.5320e+001	 6.7865e+000	
 1.9000e+001	 0.0000e+000	 5.6000e+001	 8.7381e+001	 1.9044e+000	 9.9162e+000	 4.2881e+000	 1.5320e+001	 6.7865e+000	
 2.0000e+001	 0.0000e+000	 5.9200e+001	 8.7381e+001	 1.9044e+000	 9.9162e+000	 4.2881e+000	 1.5320e+001	 6.7865e+000	
 2.1000e+001	 0.0000e+000	 6.2400e+001	 8.7381e+001	 1.9044e+000	 9.9162e+000	 4.2881e+000	 1.5320e+001	 6.7865e+000	
 1.0000e+001	 7.0000e+001	 3.0400e+001	 3.5659e-001	 4.5772e-001	 5.0860e-001	 4.0020e-001	 2.4819e+000	 8.1617e+000	
 1.1000e+001	 7.0000e+001	 3.3600e+001	 4.3575e-001	 4.6631e-001	 4.5247e-001	 3.6572e-001	 2.3884e+000	 8.2151e+000	
 1.0000e+000	 7.0000e+001	 1.6000e+000	 1.0013e-001	 5.1103e-002	 5.2501e-003	 1.3943e+000	 2.8003e+000	 7.5725e+000	
 1.3000e+001	 7.0000e+001	 3.6800e+001	 5.1815e-001	 4.5554e-001	 3.9699e-001	 3.3014e-001	 2.2779e+000	 8.2777e+000	
 2.0000e+000	 7.0000e+001	 4.8000e+000	 1.0077e-001	 5.7287e-002	 3.5232e-002	 1.3604e+000	 2.7993e+000	 7.5834e+000	
 1.4000e+001	 7.0000e+001	 4.0000e+001	 6.9341e-001	 4.0601e-001	 3.0965e-001	 2.6967e-001	 2.1081e+000	 8.3964e+000	
 3.0000e+000	 7.0000e+001	 8.0000e+000	 1.0263e-001	 7.4790e-002	 1.2006e-001	 1.2645e+000	 2.7966e+000	 7.6156e+000	
 1.5000e+001	 7.0000e+001	 4.3200e+001	 1.0286e+000	 3.1403e-001	 2.0002e-001	 1.8587e-001	 1.9644e+000	 8.5904e+000	
 4.0000e+000	 7.0000e+001	 1.1200e+001	 1.0606e-001	 1.0335e-001	 2.5694e-001	 1.1094e+000	 2.7922e+000	 7.6734e+000	
 1.6000e+001	 7.0000e+001	 4.6400e+001	 1.4301e+000	 2.2941e-001	 1.2421e-001	 1.2194e-001	 2.0018e+000	 8.7777e+000	
 5.0000e+000	 7.0000e+001	 1.4400e+001	 1.1381e-001	 1.5609e-001	 4.6089e-001	 8.7040e-001	 2.7825e+000	 7.7809e+000	
 1.7000e+001	 7.0000e+001	 4.9600e+001	 1.7809e+000	 1.8996e-001	 9.6621e-002	 9.6583e-002	 2.2073e+000	 8.8496e+000	
 6.0000e+000	 7.0000e+001	 1.7600e+001	 1.2850e-001	 2.2623e-001	 6.1360e-001	 6.6563e-001	 2.7632e+000	 7.9010e+000	
 1.8000e+001	 7.0000e+001	 5.2800e+001	 2.1304e+000	 1.7937e-001	 9.1859e-002	 9.0846e-002	 2.5252e+000	 8.8250e+000	
 7.0000e+000	 7.0000e+001	 2.0800e+001	 1.5494e-001	 3.0375e-001	 6.6083e-001	 5.4858e-001	 2.7275e+000	 7.9905e+000	
 1.9000e+001	 7.0000e+001	 5.6000e+001	 2.5737e+000	 1.8180e-001	 9.7462e-002	 9.3599e-002	 2.9876e+000	 8.7441e+000	
 8.0000e+000	 7.0000e+001	 2.4000e+001	 1.9948e-001	 3.7548e-001	 6.3514e-001	 4.8714e-001	 2.6695e+000	 8.0500e+000	
 2.0000e+001	 7.0000e+001	 5.9200e+001	 3.2767e+000	 1.9481e-001	 1.1420e-001	 1.0405e-001	 3.7580e+000	 8.6057e+000	
 9.0000e+000	 7.0000e+001	 2.7200e+001	 2.6774e-001	 4.2905e-001	 5.7693e-001	 4.4269e-001	 2.5860e+000	 8.1029e+000	
 2.1000e+001	 7.0000e+001	 6.2400e+001	 4.9511e+000	 2.3269e-001	 1.6583e-001	 1.3484e-001	 5.6342e+000	 8.3372e+000	
