              dist_x	                temp	                  Na	                   K	                  Cl	
                 -99	 2.400000000000e+001	 2.400000000000e-002	 0.000000000000e+000	 2.400000000000e-002	
                 -99	 2.400000000000e+001	 2.400000000000e-002	 0.000000000000e+000	 2.400000000000e-002	
                 -99	 2.400000000000e+001	 2.400000000000e-002	 0.000000000000e+000	 2.400000000000e-002	
                 0.5	 0.000000000000e+000	 0.000000000000e+000	 2.400000000000e-002	 0.000000000000e+000	
                 1.5	 0.000000000000e+000	 0.000000000000e+000	 2.400000000000e-002	 0.000000000000e+000	
                 2.5	 0.000000000000e+000	 0.000000000000e+000	 2.400000000000e-002	 0.000000000000e+000	
                 3.5	 0.000000000000e+000	 0.000000000000e+000	 2.400000000000e-002	 0.000000000000e+000	
                 4.5	 0.000000000000e+000	 0.000000000000e+000	 2.400000000000e-002	 0.000000000000e+000	
                 5.5	 0.000000000000e+000	 0.000000000000e+000	 2.400000000000e-002	 0.000000000000e+000	
                 6.5	 0.000000000000e+000	 0.000000000000e+000	 2.400000000000e-002	 0.000000000000e+000	
                 7.5	 0.000000000000e+000	 0.000000000000e+000	 2.400000000000e-002	 0.000000000000e+000	
                 8.5	 0.000000000000e+000	 0.000000000000e+000	 2.400000000000e-002	 0.000000000000e+000	
                 9.5	 0.000000000000e+000	 0.000000000000e+000	 2.400000000000e-002	 0.000000000000e+000	
                10.5	 0.000000000000e+000	 0.000000000000e+000	 2.400000000000e-002	 0.000000000000e+000	
                11.5	 0.000000000000e+000	 0.000000000000e+000	 2.400000000000e-002	 0.000000000000e+000	
                12.5	 0.000000000000e+000	 0.000000000000e+000	 2.400000000000e-002	 0.000000000000e+000	
                13.5	 0.000000000000e+000	 0.000000000000e+000	 2.400000000000e-002	 0.000000000000e+000	
                14.5	 0.000000000000e+000	 0.000000000000e+000	 2.400000000000e-002	 0.000000000000e+000	
                15.5	 0.000000000000e+000	 0.000000000000e+000	 2.400000000000e-002	 0.000000000000e+000	
                16.5	 0.000000000000e+000	 0.000000000000e+000	 2.400000000000e-002	 0.000000000000e+000	
                17.5	 0.000000000000e+000	 0.000000000000e+000	 2.400000000000e-002	 0.000000000000e+000	
                18.5	 0.000000000000e+000	 0.000000000000e+000	 2.400000000000e-002	 0.000000000000e+000	
                19.5	 2.400000000000e+001	 2.400000000000e-002	 0.000000000000e+000	 2.400000000000e-002	
                 0.5	 1.686181418415e+001	 1.686181419284e-002	 7.138185798927e-003	 2.011377529332e-002	
                 1.5	 6.421492325960e+000	 6.421492401962e-003	 1.757850758479e-002	 1.294968671951e-002	
                 2.5	 1.759908541854e+000	 1.759908596883e-003	 2.224009139336e-002	 7.342808261321e-003	
                 3.5	 3.571924631562e-001	 3.571924817810e-004	 2.364280751295e-002	 3.623408283684e-003	
                 4.5	 5.490209781370e-002	 5.490210180378e-005	 2.394509789588e-002	 1.538555967129e-003	
                 5.5	 6.484238380348e-003	 6.484238982966e-006	 2.399351576020e-002	 5.556625533113e-004	
                 6.5	 5.926340095484e-004	 5.926340766371e-007	 2.399940736569e-002	 1.684990632469e-004	
                 7.5	 4.190926756604e-005	 4.190927316575e-008	 2.399995809069e-002	 4.224784404205e-005	
                 8.5	 2.276345750780e-006	 2.276346101822e-009	 2.399999772367e-002	 8.664946370896e-006	
                 9.5	 1.396593677778e-007	 1.396593921576e-010	 2.399999986037e-002	 2.055609847093e-006	
                10.5	 1.138869021831e-006	 1.138869196818e-009	 2.399999886115e-002	 4.374443607427e-006	
                11.5	 2.090811414205e-005	 2.090811693077e-008	 2.399997909188e-002	 2.044715368548e-005	
                12.5	 2.951795282278e-004	 2.951795617118e-007	 2.399970482034e-002	 7.995922685941e-005	
                13.5	 3.221164570742e-003	 3.221164872735e-006	 2.399677883476e-002	 2.567109777341e-004	
                14.5	 2.715473190226e-002	 2.715473392117e-005	 2.397284526506e-002	 6.850286499844e-004	
                15.5	 1.753541123879e-001	 1.753541220795e-004	 2.382464587568e-002	 1.533872870596e-003	
                16.5	 8.525032220200e-001	 8.525032534586e-004	 2.314749674263e-002	 2.902126148041e-003	
                17.5	 3.032149931402e+000	 3.032149994207e-003	 2.096785000072e-002	 4.663139220104e-003	
                18.5	 7.550952821146e+000	 7.550952899095e-003	 1.644904709709e-002	 6.385483516941e-003	
                19.5	 1.235834674495e+001	 1.235834684368e-002	 1.164165315607e-002	 7.468268986482e-003	
