        dist	      H2O_aq	     H2O_edl	     H2O_tot	          Na	          Ca	          Cl	          pH	
 5.0000e-010	 3.0000e-001	 9.0259e-002	 3.9026e-001	 1.0000e+000	 0.0000e+000	 1.0000e+000	 7.0000e+000	
 1.5000e-009	 3.0000e-001	 9.0259e-002	 3.9026e-001	 1.0000e+000	 0.0000e+000	 1.0000e+000	 7.0000e+000	
 2.5000e-009	 3.0000e-001	 9.0259e-002	 3.9026e-001	 1.0000e+000	 0.0000e+000	 1.0000e+000	 7.0000e+000	
 3.5000e-009	 3.0000e-001	 9.0259e-002	 3.9026e-001	 1.0000e+000	 0.0000e+000	 1.0000e+000	 7.0000e+000	
 4.5000e-009	 3.0000e-001	 9.0259e-002	 3.9026e-001	 1.0000e+000	 0.0000e+000	 1.0000e+000	 7.0000e+000	
 5.5000e-009	 3.0000e-001	 9.0259e-002	 3.9026e-001	 1.0000e+000	 0.0000e+000	 1.0000e+000	 7.0000e+000	
 6.5000e-009	 3.0000e-001	 9.0259e-002	 3.9026e-001	 1.0000e+000	 0.0000e+000	 1.0000e+000	 7.0000e+000	
 7.5000e-009	 3.0000e-001	 9.0259e-002	 3.9026e-001	 1.0000e+000	 0.0000e+000	 1.0000e+000	 7.0000e+000	
 8.5000e-009	 3.0000e-001	 9.0259e-002	 3.9026e-001	 1.0000e+000	 0.0000e+000	 1.0000e+000	 7.0000e+000	
 9.5000e-009	 3.0000e-001	 9.0259e-002	 3.9026e-001	 1.0000e+000	 0.0000e+000	 1.0000e+000	 7.0000e+000	
 5.0000e-010	 2.2738e-001	 1.6288e-001	 3.9026e-001	 2.6948e-001	 0.0000e+000	 2.7109e-001	 5.7983e+000	
 1.5000e-009	 2.8198e-001	 1.0828e-001	 3.9026e-001	 6.7316e-001	 0.0000e+000	 6.7522e-001	 5.6987e+000	
 2.5000e-009	 2.9444e-001	 9.5815e-002	 3.9026e-001	 8.7836e-001	 0.0000e+000	 8.7978e-001	 5.8589e+000	
 3.5000e-009	 2.9843e-001	 9.1826e-002	 3.9026e-001	 9.6304e-001	 0.0000e+000	 9.6389e-001	 6.0753e+000	
 4.5000e-009	 2.9962e-001	 9.0638e-002	 3.9026e-001	 9.9064e-001	 0.0000e+000	 9.9114e-001	 6.3029e+000	
 5.5000e-009	 2.9992e-001	 9.0336e-002	 3.9026e-001	 9.9795e-001	 0.0000e+000	 9.9823e-001	 6.5174e+000	
 6.5000e-009	 2.9999e-001	 9.0272e-002	 3.9026e-001	 9.9958e-001	 0.0000e+000	 9.9974e-001	 6.6981e+000	
 7.5000e-009	 3.0000e-001	 9.0261e-002	 3.9026e-001	 9.9991e-001	 0.0000e+000	 9.9999e-001	 6.8296e+000	
 8.5000e-009	 3.0000e-001	 9.0259e-002	 3.9026e-001	 9.9997e-001	 0.0000e+000	 1.0000e+000	 6.9087e+000	
 9.5000e-009	 3.0000e-001	 9.0259e-002	 3.9026e-001	 9.9999e-001	 0.0000e+000	 1.0000e+000	 6.9441e+000	
