      H2O_aq	      H2O_Su	     H2O_Hfo	     H2O_tot	  newH2O_tot	          Na	          Cl	          pH	
 1.0000e+000	 0.0000e+000	 0.0000e+000	 1.0000e+000	 5.0000e-001	 1.0000e+000	 1.0000e+000	 7.0000e+000	
 1.0000e+000	 9.3956e-002	 5.6374e-003	 1.0996e+000	 5.9959e-001	 1.0000e+000	 1.0000e+000	 7.0000e+000	
 1.0000e+000	 9.3956e-002	 5.6374e-003	 1.0996e+000	 5.9959e-001	 1.0000e+000	 1.0000e+000	 7.0000e+000	
 5.0181e-001	 9.2249e-002	 5.5349e-003	 5.9959e-001	 3.4869e-001	 9.9656e-001	 9.9656e-001	 6.9997e+000	
 2.5360e-001	 8.9706e-002	 5.3823e-003	 3.4869e-001	 2.2189e-001	 9.8670e-001	 9.8670e-001	 6.9989e+000	
 1.3019e-001	 8.6506e-002	 5.1904e-003	 2.2189e-001	 1.5679e-001	 9.6392e-001	 9.6392e-001	 6.9970e+000	
 6.8646e-002	 8.3157e-002	 4.9894e-003	 1.5679e-001	 1.2247e-001	 9.2354e-001	 9.2354e-001	 6.9940e+000	
 3.7516e-002	 8.0145e-002	 4.8087e-003	 1.2247e-001	 1.0371e-001	 8.6899e-001	 8.6898e-001	 6.9906e+000	
 2.1381e-002	 7.7670e-002	 4.6602e-003	 1.0371e-001	 9.3021e-002	 8.1060e-001	 8.1057e-001	 6.9879e+000	
 1.8604e-002	 7.0204e-002	 4.2123e-003	 9.3021e-002	 8.3719e-002	 6.4838e-001	 6.4839e-001	 6.9886e+000	
 1.6744e-002	 6.3184e-002	 3.7910e-003	 8.3719e-002	 7.5347e-002	 5.3641e-001	 5.3646e-001	 7.0000e+000	
 1.5069e-002	 5.6866e-002	 3.4119e-003	 7.5347e-002	 6.7812e-002	 4.5885e-001	 4.5885e-001	 7.0164e+000	
 1.3562e-002	 5.1179e-002	 3.0707e-003	 6.7812e-002	 6.1031e-002	 4.0236e-001	 4.0241e-001	 7.0348e+000	
 1.2206e-002	 4.6061e-002	 2.7637e-003	 6.1031e-002	 5.4928e-002	 3.5973e-001	 3.5967e-001	 7.0536e+000	
 1.0986e-002	 4.1455e-002	 2.4873e-003	 5.4928e-002	 4.9435e-002	 3.2654e-001	 3.2657e-001	 7.0720e+000	
 9.8870e-003	 3.7309e-002	 2.2386e-003	 4.9435e-002	 4.4492e-002	 3.0015e-001	 3.0023e-001	 7.0896e+000	
 8.8983e-003	 3.3579e-002	 2.0147e-003	 4.4492e-002	 4.0042e-002	 2.7879e-001	 2.7892e-001	 7.1060e+000	
