        days	       J_hto	        J_sr	        J_na	        J_cl	          EB	
 0.0000e+000	
 5.7870e+004	 1.0632e-007	 5.4716e-006	 5.8987e-007	 5.8427e-008	 3.7167e-007	
 1.1574e+005	 4.6806e-007	 2.4089e-005	 2.5968e-006	 2.5722e-007	 3.0737e-007	
 1.7361e+005	 6.2659e-007	 3.2249e-005	 3.4764e-006	 3.4435e-007	 2.5984e-007	
 2.3148e+005	 6.7409e-007	 3.4694e-005	 3.7399e-006	 3.7046e-007	 2.2767e-007	
 2.8935e+005	 6.8810e-007	 3.5415e-005	 3.8177e-006	 3.7818e-007	 2.0923e-007	
 3.4722e+005	 6.9223e-007	 3.5628e-005	 3.8406e-006	 3.8046e-007	 1.9934e-007	
 4.0509e+005	 6.9345e-007	 3.5691e-005	 3.8473e-006	 3.8114e-007	 1.9519e-007	
 4.6296e+005	 6.9381e-007	 3.5710e-005	 3.8493e-006	 3.8134e-007	 1.9443e-007	
 5.2083e+005	 6.9391e-007	 3.5715e-005	 3.8499e-006	 3.8141e-007	 1.9476e-007	
 5.7870e+005	 6.9395e-007	 3.5717e-005	 3.8501e-006	 3.8143e-007	 1.9659e-007	
 6.3657e+005	 6.9396e-007	 3.5717e-005	 3.8501e-006	 3.8144e-007	 1.7553e-007	
        days	       J_hto	        J_sr	        J_na	        J_cl	          EB	
        days	       J_hto	        J_sr	        J_na	        J_cl	          EB	
 0.0000e+000	
 5.7870e+004	 3.1856e-007	 1.2498e-005	 7.1453e-007	 5.8294e-008	 1.0079e-006	
 1.1574e+005	 9.3024e-007	 3.0250e-004	 4.5846e-006	 2.4552e-007	 1.4412e-006	
 1.7361e+005	 1.0281e-006	 2.3830e-004	 3.8109e-006	 2.4898e-007	 1.8944e-006	
 2.3148e+005	 1.0401e-006	 1.5451e-004	 3.1031e-006	 2.5302e-007	 2.2565e-006	
 2.8935e+005	 1.0417e-006	 1.0050e-004	 2.9304e-006	 2.5516e-007	 2.5575e-006	
 3.4722e+005	 1.0420e-006	 6.5602e-005	 2.8914e-006	 2.5584e-007	 2.8685e-006	
 4.0509e+005	 1.0422e-006	 4.2986e-005	 2.8817e-006	 2.5599e-007	 3.1496e-006	
 4.6296e+005	 1.0424e-006	 2.8277e-005	 2.8781e-006	 2.5596e-007	 3.4089e-006	
 5.2083e+005	 1.0425e-006	 2.0270e-005	 2.8764e-006	 2.5585e-007	 3.6592e-006	
 5.7870e+005	 1.0427e-006	 1.8651e-005	 2.8759e-006	 2.5573e-007	 3.8246e-006	
 6.3657e+005	 1.0429e-006	 1.8286e-005	 2.8763e-006	 2.5560e-007	 3.9745e-006	
