        conc	    eq_EC_25	
 5.0000e-004	 1.4769e+002	
 1.0000e-003	 1.4673e+002	
 5.0000e-003	 1.4314e+002	
 1.0000e-002	 1.4073e+002	
 2.0000e-002	 1.3762e+002	
 5.0000e-002	 1.3236e+002	
 1.0000e-001	 1.2755e+002	
 5.0000e-004	 1.2439e+002	
 1.0000e-003	 1.2358e+002	
 5.0000e-003	 1.2059e+002	
 1.0000e-002	 1.1859e+002	
 2.0000e-002	 1.1605e+002	
 5.0000e-002	 1.1180e+002	
 1.0000e-001	 1.0803e+002	
 5.0000e-004	 4.1962e+002	
 1.0000e-003	 4.1724e+002	
 5.0000e-003	 4.0839e+002	
 1.0000e-002	 4.0277e+002	
 2.0000e-002	 3.9598e+002	
 5.0000e-002	 3.8540e+002	
 1.0000e-001	 3.7657e+002	
 5.0000e-004	 1.3149e+002	
 1.0000e-003	 1.2975e+002	
 5.0000e-003	 1.2344e+002	
 1.0000e-002	 1.1947e+002	
 2.0000e-002	 1.1469e+002	
 5.0000e-002	 1.0735e+002	
 1.0000e-001	 1.0143e+002	
 5.0000e-004	 1.2523e+002	
 1.0000e-003	 1.2363e+002	
 5.0000e-003	 1.1784e+002	
 1.0000e-002	 1.1422e+002	
 2.0000e-002	 1.0989e+002	
 5.0000e-002	 1.0327e+002	
 1.0000e-001	 9.7982e+001	
 5.0000e-004	 1.2526e+002	
 1.0000e-003	 1.2317e+002	
 5.0000e-003	 1.1529e+002	
 1.0000e-002	 1.1016e+002	
 2.0000e-002	 1.0389e+002	
 5.0000e-002	 9.4099e+001	
 1.0000e-001	 8.6052e+001	
 4.9713e-004	 1.2120e+002	
 9.9465e-004	 1.1503e+002	
 4.9797e-003	 9.2970e+001	
 9.9658e-003	 8.1112e+001	
 1.9944e-002	 6.8967e+001	
 4.9896e-002	 5.3692e+001	
 9.9836e-002	 4.3387e+001	

 4.9995e-004	 1.3916e+002	
 9.9990e-004	 1.3599e+002	
 4.9995e-003	 1.2535e+002	
 9.9990e-003	 1.1931e+002	
 1.9998e-002	 1.1257e+002	
 4.9995e-002	 1.0298e+002	
 9.9990e-002	 9.5515e+001	
