        dist	          pH	          pe	          O2	           A	         Fe2	         Fe3	       water	










 5.0000e-001	 7.1989e+000	 4.0248e+000	 0.0000e+000	 8.3299e-001	 3.4820e-001	 4.9890e-001	-4.2126e-010	
 1.5000e+000	 7.1599e+000	 4.0959e+000	 0.0000e+000	 5.2816e-001	 2.3934e-001	 3.2530e-001	-2.0692e-009	
 2.5000e+000	 7.1064e+000	 4.1949e+000	 0.0000e+000	 2.9568e-001	 1.5047e-001	 1.8997e-001	-2.5912e-009	
 3.5000e+000	 7.0399e+000	 4.3188e+000	 0.0000e+000	 1.4610e-001	 8.6401e-002	 9.9549e-002	-2.7259e-009	
 4.5000e+000	 6.9633e+000	 4.4615e+000	 0.0000e+000	 6.3940e-002	 4.5338e-002	 4.7060e-002	-2.6795e-009	
 5.5000e+000	 6.8826e+000	 4.6096e+000	 0.0000e+000	 2.4917e-002	 2.1777e-002	 2.0213e-002	-2.6741e-009	
 6.5000e+000	 6.8123e+000	 4.7290e+000	 1.2173e-037	 8.6997e-003	 9.5936e-003	 7.9429e-003	-2.7924e-009	
 7.5000e+000	 6.7801e+000	 4.7555e+000	 1.1548e-037	 2.7370e-003	 3.8717e-003	 2.8654e-003	-2.2269e-009	
 8.5000e+000	 6.8173e+000	 4.6172e+000	 0.0000e+000	 7.7170e-004	 1.3957e-003	 9.3209e-004	-3.8673e-010	
 9.5000e+000	 6.9520e+000	 4.2441e+000	 0.0000e+000	 1.5518e-004	 3.3976e-004	 2.0948e-004	 1.9928e-009	












 5.0000e-001	 7.2114e+000	 3.9986e+000	 0.0000e+000	 8.3692e-001	 3.4032e-001	 4.9660e-001	 1.0655e-010	
 1.5000e+000	 7.2082e+000	 3.9957e+000	 0.0000e+000	 5.3674e-001	 2.1825e-001	 3.1848e-001	 3.0250e-010	
 2.5000e+000	 7.2048e+000	 3.9932e+000	 0.0000e+000	 3.0281e-001	 1.2313e-001	 1.7968e-001	 4.5462e-010	
 3.5000e+000	 7.2010e+000	 3.9925e+000	 0.0000e+000	 1.4862e-001	 6.0435e-002	 8.8189e-002	 5.5315e-010	
 4.5000e+000	 7.1961e+000	 3.9966e+000	 0.0000e+000	 6.2834e-002	 2.5550e-002	 3.7284e-002	 6.0270e-010	
 5.5000e+000	 7.1869e+000	 4.0143e+000	 0.0000e+000	 2.2663e-002	 9.2154e-003	 1.3447e-002	 6.0926e-010	
 6.5000e+000	 7.1637e+000	 4.0716e+000	 0.0000e+000	 6.9024e-003	 2.8067e-003	 4.0957e-003	 5.5844e-010	
 7.5000e+000	 7.1097e+000	 4.2117e+000	 0.0000e+000	 1.7544e-003	 7.1341e-004	 1.0410e-003	 3.9994e-010	
 8.5000e+000	 7.0415e+000	 4.3882e+000	 0.0000e+000	 3.6600e-004	 1.4883e-004	 2.1717e-004	 1.6400e-010	
 9.5000e+000	 7.0073e+000	 4.4758e+000	 0.0000e+000	 5.3683e-005	 2.1829e-005	 3.1854e-005	 3.0696e-011	
