        cell	          pH	          pe	          O2	           A	          A+	          A-	          cb	






 1.0000e+000	 1.2254e+001	 8.5060e+000	 9.0161e-001	 3.8276e-001	 3.0927e+000	 6.7470e+000	 2.3148e-007	
 4.0000e+000	 1.2349e+001	 8.4738e+000	 1.6048e+000	 2.8397e-001	 2.8108e+000	 5.6107e+000	 1.0721e-008	
 6.0000e+000	 1.2428e+001	 8.3730e+000	 1.3147e+000	 2.4070e-001	 3.1758e+000	 5.3696e+000	 3.8277e-008	
 8.0000e+000	 1.2372e+001	 8.4569e+000	 1.7063e+000	 2.6328e-001	 2.8825e+000	 5.6069e+000	 4.5757e-008	
 2.0000e+000	 1.1882e+001	 8.4013e+000	 1.1312e-002	 6.3653e-002	 3.6417e-001	 8.8363e-001	 8.3466e-008	
 5.0000e+000	 1.1925e+001	-1.1421e+001	 0.0000e+000	 4.7270e-002	 2.9435e-001	 6.6671e-001	 3.0263e-007	




 0.0000e+000	 6.0281e+000	-3.6620e-001	 0.0000e+000	 1.0000e+000	 9.9010e-002	 1.0000e+001	 4.5923e-011	






 1.0000e+000	 6.4952e+000	 1.3194e+001	 4.7443e-005	 2.5457e-001	 1.9577e-002	 2.5457e+000	 7.5718e-009	
 4.0000e+000	 6.5838e+000	 1.3090e+001	 4.1279e-005	 1.8363e-001	 1.3094e-004	 1.8363e+000	 2.2675e-008	
 6.0000e+000	 6.6301e+000	 1.3032e+001	 3.7062e-005	 1.5309e-001	 4.6608e-007	 1.5309e+000	 3.3613e-008	
 8.0000e+000	 6.6058e+000	 1.3073e+001	 4.2958e-005	 1.6864e-001	 9.8411e-007	 1.6864e+000	 1.7828e-008	
 2.0000e+000	 6.9072e+000	 1.2718e+001	 2.6298e-005	 2.6726e-002	 3.0033e-006	 2.6726e-001	-3.9359e-008	
 5.0000e+000	 6.9316e+000	 1.2688e+001	 2.5130e-005	 1.9058e-002	 3.9833e-009	 1.9058e-001	-3.9268e-008	
