        dist	          Cl	        Su_a	        Su_b	       Hfo_w	       Hfo_s	
 5.0000e-001	 0.0000e+000	 0.0000e+000	 0.0000e+000	 0.0000e+000	 0.0000e+000	
 1.5000e+000	 0.0000e+000	 0.0000e+000	 0.0000e+000	 0.0000e+000	 0.0000e+000	
 2.5000e+000	 0.0000e+000	 0.0000e+000	 0.0000e+000	 0.0000e+000	 0.0000e+000	
 3.5000e+000	 0.0000e+000	 0.0000e+000	 0.0000e+000	 0.0000e+000	 0.0000e+000	
 5.0000e-001	 9.5500e-001	 9.5500e-001	 9.5500e-001	 0.0000e+000	 0.0000e+000	
 1.5000e+000	 1.4000e-001	 1.4000e-001	 1.4000e-001	 0.0000e+000	 0.0000e+000	
 2.5000e+000	 5.0000e-003	 5.0000e-003	 5.0000e-003	 0.0000e+000	 0.0000e+000	
 3.5000e+000	 0.0000e+000	 0.0000e+000	 0.0000e+000	 0.0000e+000	 0.0000e+000	
 5.0000e-001	 9.9594e-001	 9.9594e-001	 9.9594e-001	 0.0000e+000	 0.0000e+000	
 1.5000e+000	 8.8557e-001	 8.8557e-001	 8.8557e-001	 0.0000e+000	 0.0000e+000	
 2.5000e+000	 2.0311e-001	 2.0311e-001	 2.0311e-001	 0.0000e+000	 0.0000e+000	
 3.5000e+000	 1.9625e-002	 1.9625e-002	 1.9625e-002	 0.0000e+000	 0.0000e+000	
 5.0000e-001	 9.9954e-001	 9.9954e-001	 9.9954e-001	 0.0000e+000	 0.0000e+000	
 1.5000e+000	 9.8459e-001	 9.8459e-001	 9.8459e-001	 0.0000e+000	 0.0000e+000	
 2.5000e+000	 8.3222e-001	 8.3222e-001	 8.3222e-001	 0.0000e+000	 0.0000e+000	
 3.5000e+000	 2.5951e-001	 2.5951e-001	 2.5951e-001	 0.0000e+000	 0.0000e+000	
