        cell	          Cl	        Su_a	        Su_b	       Hfo_w	       Hfo_s	
 1.0000e+000	 1.0000e+000	 1.0000e+000	 1.0000e+000	 0.0000e+000	 0.0000e+000	
 2.0000e+000	 0.0000e+000	 0.0000e+000	 0.0000e+000	 0.0000e+000	 0.0000e+000	
 4.0000e+000	 0.0000e+000	 0.0000e+000	 0.0000e+000	 0.0000e+000	 0.0000e+000	
 5.0000e+000	 0.0000e+000	 0.0000e+000	 0.0000e+000	 0.0000e+000	 0.0000e+000	
 6.0000e+000	 0.0000e+000	 0.0000e+000	 0.0000e+000	 0.0000e+000	 0.0000e+000	
 8.0000e+000	 0.0000e+000	 0.0000e+000	 0.0000e+000	 0.0000e+000	 0.0000e+000	
 1.0000e+000	 9.1687e-001	 9.1687e-001	 9.1687e-001	 0.0000e+000	 0.0000e+000	
 4.0000e+000	 5.6714e-002	 5.6714e-002	 5.6714e-002	 0.0000e+000	 0.0000e+000	
 6.0000e+000	 0.0000e+000	 0.0000e+000	 0.0000e+000	 0.0000e+000	 0.0000e+000	
 8.0000e+000	 0.0000e+000	 0.0000e+000	 0.0000e+000	 0.0000e+000	 0.0000e+000	
 2.0000e+000	 5.3677e-002	 5.3677e-002	 5.3677e-002	 0.0000e+000	 0.0000e+000	
 5.0000e+000	 2.1909e-003	 2.1909e-003	 2.1909e-003	 0.0000e+000	 0.0000e+000	
 1.0000e+000	 8.4521e-001	 8.4521e-001	 8.4521e-001	 0.0000e+000	 0.0000e+000	
 4.0000e+000	 9.8681e-002	 9.8681e-002	 9.8681e-002	 0.0000e+000	 0.0000e+000	
 6.0000e+000	 3.4028e-003	 3.4028e-003	 3.4028e-003	 0.0000e+000	 0.0000e+000	
 8.0000e+000	 6.8056e-003	 6.8056e-003	 6.8056e-003	 0.0000e+000	 0.0000e+000	
 2.0000e+000	 9.8981e-002	 9.8981e-002	 9.8981e-002	 0.0000e+000	 0.0000e+000	
 5.0000e+000	 6.1415e-003	 6.1415e-003	 6.1415e-003	 0.0000e+000	 0.0000e+000	
 1.0000e+000	 7.8316e-001	 7.8316e-001	 7.8316e-001	 0.0000e+000	 0.0000e+000	
 4.0000e+000	 1.2979e-001	 1.2979e-001	 1.2979e-001	 0.0000e+000	 0.0000e+000	
 6.0000e+000	 9.1195e-003	 9.1195e-003	 9.1195e-003	 0.0000e+000	 0.0000e+000	
 8.0000e+000	 1.7831e-002	 1.7831e-002	 1.7831e-002	 0.0000e+000	 0.0000e+000	
 2.0000e+000	 1.3718e-001	 1.3718e-001	 1.3718e-001	 0.0000e+000	 0.0000e+000	
 5.0000e+000	 1.1490e-002	 1.1490e-002	 1.1490e-002	 0.0000e+000	 0.0000e+000	
