        cell	          Cl	         Sua	         Hfo	         Sub	   Sorbedhfo	
 1.0000e+000	 0.0000e+000	 0.0000e+000	 0.0000e+000	 0.0000e+000	 0.0000e+000	
 2.0000e+000	 0.0000e+000	 0.0000e+000	 0.0000e+000	 0.0000e+000	 0.0000e+000	
 3.0000e+000	 0.0000e+000	 0.0000e+000	 0.0000e+000	 0.0000e+000	 0.0000e+000	
 5.0000e+000	 0.0000e+000	 0.0000e+000	 0.0000e+000	 0.0000e+000	 0.0000e+000	
 6.0000e+000	 0.0000e+000	 0.0000e+000	 0.0000e+000	 0.0000e+000	 0.0000e+000	
 7.0000e+000	 0.0000e+000	 0.0000e+000	 0.0000e+000	 0.0000e+000	 0.0000e+000	
 1.0000e+000	 4.9952e-001	 4.9987e-001	 9.9950e-001	 9.9950e-001	 0.0000e+000	
 5.0000e+000	 5.0033e-001	 4.9983e-001	 4.9998e-004	 4.9998e-004	 0.0000e+000	
 2.0000e+000	 1.5016e-004	 1.5001e-004	 2.9985e-007	 2.9985e-007	 0.0000e+000	
 6.0000e+000	 1.5014e-004	 1.4999e-004	 1.5000e-010	 1.4999e-010	 0.0000e+000	
 3.0000e+000	 0.0000e+000	 0.0000e+000	 0.0000e+000	 0.0000e+000	 0.0000e+000	
 7.0000e+000	 0.0000e+000	 0.0000e+000	 0.0000e+000	 0.0000e+000	 0.0000e+000	
 1.0000e+000	 7.4967e-001	 4.9995e-001	 9.9935e-001	 2.4994e+000	 4.9975e-001	
 5.0000e+000	 7.5056e-001	 4.9990e-001	 7.4977e-004	 5.0033e-001	 2.4999e-004	
 2.0000e+000	 2.4952e-001	 7.5081e-005	 4.9965e-001	 1.5031e-004	 1.4993e-007	
 6.0000e+000	 2.5032e-001	 7.5074e-005	 2.4994e-004	 1.4999e-004	 7.5000e-011	
 3.0000e+000	 1.5014e-004	 1.4997e-012	 2.9970e-007	 0.0000e+000	 0.0000e+000	
 7.0000e+000	 1.5013e-004	 1.4996e-012	 1.4993e-010	 0.0000e+000	 0.0000e+000	
 1.0000e+000	 8.7478e-001	 4.9987e-001	 9.9950e-001	 3.9993e+000	 9.9942e-001	
 5.0000e+000	 8.7572e-001	 4.9983e-001	 8.7467e-004	 1.0002e+000	 6.2487e-004	
 2.0000e+000	 4.9952e-001	 1.5001e-004	 4.9935e-001	 2.2539e-004	 2.4983e-001	
 6.0000e+000	 5.0043e-001	 1.5000e-004	 3.7470e-004	 2.2507e-004	 1.2497e-004	
 3.0000e+000	 1.2458e-001	 7.5072e-013	 2.4977e-001	 1.4997e-012	 1.4985e-007	
 7.0000e+000	 1.2540e-001	 7.5065e-013	 1.2494e-004	 1.4996e-012	 7.4963e-011	
 1.0000e+000	 9.3736e-001	 4.9987e-001	 9.9950e-001	 5.4992e+000	 1.4992e+000	
 5.0000e+000	 9.3833e-001	 4.9983e-001	 9.3710e-004	 1.5001e+000	 1.0622e-003	
 2.0000e+000	 6.8710e-001	 1.5001e-004	 4.9950e-001	 3.7540e-004	 4.9950e-001	
 6.0000e+000	 6.8805e-001	 1.5000e-004	 4.3712e-004	 3.7506e-004	 3.1232e-004	
 3.0000e+000	 3.1207e-001	 1.4997e-012	 2.4955e-001	 2.2504e-012	 1.2489e-001	
 7.0000e+000	 3.1299e-001	 1.4996e-012	 1.8727e-004	 2.2502e-012	 6.2472e-005	
