          PV	          Cl	         SAR	         Hfo	       U_sol	       U_col	       U_tot	
 5.0000e-002	 3.0000e+000	 0.0000e+000	 0.0000e+000	 0.0000e+000	 2.0000e-096	 2.0000e-096	
 1.5000e-001	 3.0000e+000	 0.0000e+000	 0.0000e+000	 0.0000e+000	 2.0000e-096	 2.0000e-096	
 2.5000e-001	 3.0000e+000	 1.0000e+000	 0.0000e+000	 5.3411e-019	 2.0000e-096	 5.3411e-019	
 3.5000e-001	 3.0000e+000	 1.0000e+000	 0.0000e+000	 7.0634e-008	 2.0000e-096	 7.0634e-008	
 4.5000e-001	 3.0705e+000	 1.0000e+000	 3.9754e-003	 2.5514e-004	 5.5381e-004	 8.0896e-004	
 5.5000e-001	 3.4319e+000	 1.0704e+000	 2.0377e-002	 6.8028e-004	 3.4128e-003	 4.0931e-003	
 6.5000e-001	 4.1881e+000	 1.4316e+000	 4.7885e-002	 1.0803e-003	 8.5342e-003	 9.6145e-003	
 7.5000e-001	 5.2484e+000	 2.1877e+000	 7.8767e-002	 1.3507e-003	 1.4520e-002	 1.5870e-002	
 8.5000e-001	 6.4378e+000	 3.2480e+000	 1.0650e-001	 1.5020e-003	 2.0065e-002	 2.1567e-002	
 9.5000e-001	 7.5986e+000	 4.4378e+000	 1.2815e-001	 1.5867e-003	 2.4516e-002	 2.6103e-002	
 1.0500e+000	 8.6301e+000	 5.5993e+000	 1.4355e-001	 1.6412e-003	 2.7769e-002	 2.9410e-002	
 1.1000e+000	 8.6301e+000	 6.6316e+000	 1.1484e-001	 1.7221e-003	 2.2352e-002	 2.4074e-002	
 1.2000e+000	 9.4882e+000	 6.6316e+000	 1.5380e-001	 1.6884e-003	 3.0013e-002	 3.1701e-002	
 1.3000e+000	 1.0168e+001	 7.4906e+000	 1.6029e-001	 1.7243e-003	 3.1482e-002	 3.3206e-002	
 1.4000e+000	 1.0687e+001	 8.1713e+000	 1.6426e-001	 1.7563e-003	 3.2424e-002	 3.4180e-002	
 1.5000e+000	 1.0987e+001	 8.6914e+000	 1.6269e-001	 1.7921e-003	 3.2240e-002	 3.4032e-002	
 1.6000e+000	 1.0827e+001	 9.0424e+000	 1.4825e-001	 1.8526e-003	 2.9466e-002	 3.1318e-002	
 1.7000e+000	 1.0104e+001	 9.1467e+000	 1.2239e-001	 1.9570e-003	 2.4374e-002	 2.6331e-002	
 1.8000e+000	 8.9494e+000	 8.9798e+000	 9.2424e-002	 2.1254e-003	 1.8429e-002	 2.0554e-002	
 1.9000e+000	 7.5939e+000	 8.5948e+000	 6.4909e-002	 2.3879e-003	 1.2951e-002	 1.5339e-002	
 2.0000e+000	 6.2426e+000	 8.0785e+000	 4.3053e-002	 2.7875e-003	 8.5953e-003	 1.1383e-002	
 2.1000e+000	 5.0276e+000	 7.5167e+000	 2.7308e-002	 3.3788e-003	 5.4564e-003	 8.8352e-003	
 2.2000e+000	 4.0099e+000	 6.9796e+000	 1.8084e-002	 4.2128e-003	 3.6173e-003	 7.8301e-003	
 2.3000e+000	 3.1998e+000	 6.5196e+000	 2.8138e-002	 5.2675e-003	 5.6298e-003	 1.0897e-002	
 2.4000e+000	 2.5792e+000	 6.1748e+000	 5.9475e-002	 6.3391e-003	 1.1871e-002	 1.8210e-002	
 2.5000e+000	 2.1172e+000	 5.9732e+000	 1.0795e-001	 7.1001e-003	 2.1413e-002	 2.8513e-002	
 2.6000e+000	 1.7810e+000	 5.9375e+000	 1.8695e-001	 7.3310e-003	 3.6718e-002	 4.4049e-002	
 2.7000e+000	 1.5405e+000	 6.0887e+000	 3.0463e-001	 6.9034e-003	 5.8957e-002	 6.5861e-002	
 2.8000e+000	 1.3711e+000	 6.4497e+000	 4.1239e-001	 6.2867e-003	 7.8554e-002	 8.4841e-002	
 2.9000e+000	 1.2530e+000	 7.0481e+000	 6.5517e-001	 5.2242e-003	 1.2166e-001	 1.2689e-001	
 3.0000e+000	 1.1716e+000	 7.9186e+000	 7.7933e-001	 4.5790e-003	 1.4196e-001	 1.4654e-001	
 3.1000e+000	 1.1159e+000	 9.1058e+000	 1.2529e+000	 3.6151e-003	 2.2051e-001	 2.2413e-001	
 3.2000e+000	 1.0781e+000	 1.0667e+001	 1.6783e+000	 2.9753e-003	 2.8650e-001	 2.8947e-001	
 3.3000e+000	 1.0526e+000	 1.2676e+001	 1.0168e+000	 2.7561e-003	 1.7292e-001	 1.7568e-001	
 3.4000e+000	 1.0354e+000	 1.5225e+001	 6.4535e-001	 2.4656e-003	 1.0919e-001	 1.1165e-001	
 3.5000e+000	 1.0238e+000	 1.8431e+001	 4.1553e-001	 2.1231e-003	 6.9845e-002	 7.1968e-002	
 3.6000e+000	 1.0160e+000	 2.2442e+001	 2.6923e-001	 1.7663e-003	 4.4902e-002	 4.6668e-002	
 3.7000e+000	 1.0107e+000	 2.7441e+001	 1.7495e-001	 1.4281e-003	 2.8919e-002	 3.0347e-002	
 3.8000e+000	 1.0071e+000	 3.3657e+001	 1.1385e-001	 1.1314e-003	 1.8628e-002	 1.9760e-002	
 3.9000e+000	 1.0048e+000	 4.1377e+001	 7.4131e-002	 8.8748e-004	 1.1986e-002	 1.2873e-002	
 4.0000e+000	 1.0032e+000	 5.0956e+001	 4.8279e-002	 6.9675e-004	 7.6909e-003	 8.3877e-003	
 4.1000e+000	 1.0021e+000	 6.2836e+001	 3.1441e-002	 5.5171e-004	 4.9130e-003	 5.4647e-003	
