        dist	       Ca/Na	     Cl/S(6)	         H2S	          pH	          pe	          cb	










  2.0000e-03	  1.8725e+00	  9.3623e-01	  0.0000e+00	  7.0004e+00	  1.1095e+01	 -8.4923e-11	
  6.0000e-03	  1.6126e+00	  8.0632e-01	  0.0000e+00	  7.0008e+00	  1.1167e+01	 -4.5570e-11	
  1.0000e-02	  1.3530e+00	  6.7648e-01	  0.0000e+00	  7.0005e+00	  1.1180e+01	  5.0740e-11	
  1.4000e-02	  1.1016e+00	  5.5081e-01	  0.0000e+00	  6.9992e+00	  1.1140e+01	 -1.9537e-12	
  1.8000e-02	  8.6658e-01	  4.3329e-01	  0.0000e+00	  6.9967e+00	  1.1137e+01	 -1.3186e-12	
  2.2000e-02	  6.5419e-01	  3.2709e-01	  0.0000e+00	  6.9928e+00	  1.1134e+01	 -8.0671e-13	
  2.6000e-02	  4.6791e-01	  2.3396e-01	  0.0000e+00	  6.9874e+00	  1.1131e+01	 -3.9372e-13	
  3.0000e-02	  3.0753e-01	  1.5377e-01	  0.0000e+00	  6.9809e+00	  1.1086e+01	 -1.4920e-13	
  3.4000e-02	  1.6926e-01	  8.4629e-02	  0.0000e+00	  6.9754e+00	  1.1140e+01	 -3.8202e-14	
  3.8000e-02	  4.7891e-02	  2.3945e-02	  0.0000e+00	  6.9828e+00	  1.1252e+01	 -2.3974e-15	












  2.0000e-03	  1.8021e+00	  9.0104e-01	  0.0000e+00	  7.0279e+00	  1.1503e+01	 -3.8384e-14	
  6.0000e-03	  1.4182e+00	  7.0911e-01	  0.0000e+00	  7.0794e+00	  1.1425e+01	 -1.1041e-13	
  1.0000e-02	  1.0681e+00	  5.3404e-01	  0.0000e+00	  7.1223e+00	  1.1356e+01	 -1.6423e-13	
  1.4000e-02	  7.6771e-01	  3.8386e-01	  0.0000e+00	  7.1539e+00	  1.1301e+01	 -1.9399e-13	
  1.8000e-02	  5.2536e-01	  2.6268e-01	  0.0000e+00	  7.1728e+00	  1.1261e+01	 -1.9866e-13	
  2.2000e-02	  3.4134e-01	  1.7067e-01	  0.0000e+00	  7.1784e+00	  1.1237e+01	 -1.8007e-13	
  2.6000e-02	  2.0955e-01	  1.0477e-01	  0.0000e+00	  7.1715e+00	  1.1232e+01	 -1.4186e-13	
  3.0000e-02	  1.1978e-01	  5.9892e-02	  0.0000e+00	  7.1528e+00	  1.1238e+01	 -8.7880e-14	
  3.4000e-02	  6.0047e-02	  3.0023e-02	  0.0000e+00	  7.1220e+00	  1.1259e+01	 -1.8540e-14	
  3.8000e-02	  1.8067e-02	  9.0333e-03	  0.0000e+00	  7.0680e+00	  1.1310e+01	 -5.0471e-15	
