        days	      Tracer	          Fe	
 5.0000e-002	 1.0003e-010	 1.0140e-015	
 1.5000e-001	 3.7008e-008	 1.0140e-015	
 2.5000e-001	 2.2736e-006	 1.0145e-015	
 3.5000e-001	 5.5031e-005	 1.0187e-015	
 4.5000e-001	 6.9515e-004	 1.0520e-015	
 5.5000e-001	 5.2705e-003	 1.2482e-015	
 6.5000e-001	 2.6073e-002	 2.0656e-015	
 7.5000e-001	 8.9133e-002	 4.3731e-015	
 8.5000e-001	 2.2068e-001	 7.5761e-015	
 9.5000e-001	 4.1445e-001	 8.7478e-015	
 1.0500e+000	 6.2203e-001	 8.8381e-015	
 1.1500e+000	 7.9042e-001	 9.9810e-015	
 1.2500e+000	 8.9896e-001	 1.4706e-014	
 1.3500e+000	 9.5697e-001	 4.9106e-004	
 1.4500e+000	 9.8356e-001	 1.8426e-003	
 1.5500e+000	 9.9429e-001	 4.5316e-003	
 1.6500e+000	 9.9818e-001	 9.1488e-003	
 1.7500e+000	 9.9946e-001	 1.6382e-002	
 1.8500e+000	 9.9985e-001	 2.6987e-002	
 1.9500e+000	 9.9996e-001	 4.1760e-002	
 2.0500e+000	 9.9999e-001	 6.1501e-002	
 2.1500e+000	 1.0000e+000	 8.6982e-002	
 2.2500e+000	 1.0000e+000	 1.1892e-001	
 2.3500e+000	 1.0000e+000	 1.5793e-001	
 2.4500e+000	 1.0000e+000	 2.0453e-001	
 2.5500e+000	 1.0000e+000	 2.5912e-001	
 2.6500e+000	 1.0000e+000	 3.2193e-001	
 2.7500e+000	 1.0000e+000	 3.9308e-001	
 2.8500e+000	 1.0000e+000	 4.7251e-001	
 2.9500e+000	 1.0000e+000	 5.6004e-001	
 3.0500e+000	 1.0000e+000	 6.5534e-001	
 5.0000e-002	 0.0000e+000	 0.0000e+000	
 5.0000e-002	 1.0000e+000	 6.5534e-001	
 1.5000e-001	 1.0000e-001	 1.2052e-015	
 2.5000e-001	 1.0001e-002	 1.0388e-015	
 3.5000e-001	 1.0001e-003	 1.0181e-015	
 4.5000e-001	 1.0001e-004	 1.0148e-015	
 5.5000e-001	 1.0001e-005	 1.0142e-015	
 6.5000e-001	 1.0002e-006	 1.0141e-015	
 7.5000e-001	 1.0002e-007	 1.0140e-015	
 8.5000e-001	 1.0002e-008	 1.0140e-015	
