        dist	          Na	          Cl	      aq_DDL	          pH	




















 5.0000e-003	 5.1630e-001	 4.1630e-001	 8.0188e-002	 6.3709e+000	
 1.5000e-002	 3.9942e-001	 2.9942e-001	 9.3570e-002	 5.9694e+000	
 2.5000e-002	 2.9774e-001	 1.9774e-001	 1.1333e-001	 5.7926e+000	
 3.5000e-002	 2.1879e-001	 1.1880e-001	 1.4269e-001	 5.7157e+000	
 4.5000e-002	 1.6438e-001	 6.4381e-002	 1.8656e-001	 5.7219e+000	
 5.5000e-002	 1.3114e-001	 3.1146e-002	 2.5234e-001	 5.8154e+000	
 6.5000e-002	 1.1318e-001	 1.3184e-002	 3.5057e-001	 5.9961e+000	
 7.5000e-002	 1.0467e-001	 4.6725e-003	 4.9397e-001	 6.2522e+000	
 8.5000e-002	 1.0126e-001	 1.2677e-003	 6.8594e-001	 6.5593e+000	
 9.5000e-002	 1.0024e-001	 2.4761e-004	 8.7394e-001	 6.8529e+000	
 1.0500e-001	 1.0004e-001	 5.3669e-005	 9.6302e-001	 7.0214e+000	
 1.1500e-001	 1.0002e-001	 3.1536e-005	 9.7855e-001	 7.0503e+000	
 1.2500e-001	 1.0002e-001	 2.9741e-005	 9.7992e-001	 7.0407e+000	
 1.3500e-001	 1.0002e-001	 2.9623e-005	 9.8000e-001	 7.0299e+000	
 1.4500e-001	 1.0002e-001	 2.9610e-005	 9.8000e-001	 7.0213e+000	
 1.5500e-001	 1.0002e-001	 2.9606e-005	 9.8000e-001	 7.0148e+000	
 1.6500e-001	 1.0002e-001	 2.9604e-005	 9.8000e-001	 7.0101e+000	
 1.7500e-001	 1.0002e-001	 2.9604e-005	 9.8000e-001	 7.0068e+000	
 1.8500e-001	 1.0002e-001	 2.9604e-005	 9.8000e-001	 7.0048e+000	
 1.9500e-001	 1.0002e-001	 2.9604e-005	 9.8000e-001	 7.0038e+000	




















 5.0000e-003	 5.1245e-001	 4.1245e-001	 8.0539e-002	 6.3561e+000	
 1.5000e-002	 3.8896e-001	 2.8896e-001	 9.5130e-002	 5.9546e+000	
 2.5000e-002	 2.8445e-001	 1.8445e-001	 1.1699e-001	 5.7825e+000	
 3.5000e-002	 2.0659e-001	 1.0659e-001	 1.4973e-001	 5.7158e+000	
 4.5000e-002	 1.5544e-001	 5.5449e-002	 1.9883e-001	 5.7386e+000	
 5.5000e-002	 1.2571e-001	 2.5720e-002	 2.7232e-001	 5.8530e+000	
 6.5000e-002	 1.1040e-001	 1.0403e-002	 3.8128e-001	 6.0538e+000	
 7.5000e-002	 1.0348e-001	 3.4876e-003	 5.3735e-001	 6.3241e+000	
 8.5000e-002	 1.0088e-001	 8.8293e-004	 7.3509e-001	 6.6328e+000	
 9.5000e-002	 1.0016e-001	 1.6757e-004	 9.0431e-001	 6.9028e+000	
 1.0500e-001	 1.0004e-001	 4.3978e-005	 9.6954e-001	 7.0328e+000	
 1.1500e-001	 1.0002e-001	 3.0768e-005	 9.7913e-001	 7.0462e+000	
 1.2500e-001	 1.0002e-001	 2.9691e-005	 9.7995e-001	 7.0354e+000	
 1.3500e-001	 1.0002e-001	 2.9620e-005	 9.8000e-001	 7.0250e+000	
 1.4500e-001	 1.0002e-001	 2.9609e-005	 9.8000e-001	 7.0169e+000	
 1.5500e-001	 1.0002e-001	 2.9605e-005	 9.8000e-001	 7.0109e+000	
 1.6500e-001	 1.0002e-001	 2.9604e-005	 9.8000e-001	 7.0065e+000	
 1.7500e-001	 1.0002e-001	 2.9604e-005	 9.8000e-001	 7.0036e+000	
 1.8500e-001	 1.0002e-001	 2.9604e-005	 9.8000e-001	 7.0018e+000	
 1.9500e-001	 1.0002e-001	 2.9604e-005	 9.8000e-001	 7.0009e+000	
